Dates,v,s
1/31/2016,1.4,CPI YOY Index
2/29/2016,1,CPI YOY Index
3/31/2016,0.9,CPI YOY Index
4/30/2016,1.1,CPI YOY Index
5/31/2016,1,CPI YOY Index
6/30/2016,1,CPI YOY Index
7/31/2016,0.8,CPI YOY Index
8/31/2016,1.1,CPI YOY Index
9/30/2016,1.5,CPI YOY Index
10/31/2016,1.6,CPI YOY Index
11/30/2016,1.7,CPI YOY Index
12/31/2016,2.1,CPI YOY Index
1/31/2017,2.5,CPI YOY Index
2/28/2017,2.7,CPI YOY Index
3/31/2017,2.4,CPI YOY Index
4/30/2017,2.2,CPI YOY Index
5/31/2017,1.9,CPI YOY Index
6/30/2017,1.6,CPI YOY Index
7/31/2017,1.7,CPI YOY Index
8/31/2017,1.9,CPI YOY Index
9/30/2017,2.2,CPI YOY Index
10/31/2017,2,CPI YOY Index
11/30/2017,2.2,CPI YOY Index
12/31/2017,2.1,CPI YOY Index
1/31/2018,2.1,CPI YOY Index
2/28/2018,2.2,CPI YOY Index
